season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
4,Main,Sona,3,3.8,,3,2.0,0,3,0.0,0.33,4.0,4.33,1.17,12.0,0.4,6.2,207.0,0.0,,73.7,5.3,14.3
4,Main,Caitlyn,2,2.6,,2,1.0,1,1,50.0,5.5,2.0,4.0,4.75,487.5,9.43,21.4,414.0,0.0,,63.3,36.7,25.1
4,Main,Graves,2,2.6,,2,2.0,1,1,50.0,3.5,2.5,6.0,3.8,252.5,7.62,12.0,362.0,0.0,,51.4,18.9,22.3
4,Main,Singed,2,2.6,,2,1.0,1,1,50.0,3.5,2.5,13.0,6.6,277.5,8.23,13.3,395.0,0.0,,70.2,14.9,22.0
4,Main,Ziggs,2,2.6,,2,2.0,1,1,50.0,2.0,1.5,5.0,4.67,354.5,8.43,14.7,348.0,0.0,,50.0,14.3,22.6
4,Main,Ezreal,2,2.6,,2,2.0,0,2,0.0,3.0,1.0,2.0,5.0,226.5,6.37,10.8,305.0,0.0,,47.6,28.6,22.1
4,Main,Akali,1,1.3,,1,1.0,1,0,100.0,9.0,0.0,8.0,17.0,188.0,6.52,12.8,444.0,0.0,,70.8,37.5,21.6
4,Main,Fiddlesticks,1,1.3,,1,1.0,1,0,100.0,5.0,4.0,10.0,3.75,112.0,2.6,12.3,286.0,0.0,,75.0,25.0,17.9
4,Main,Katarina,1,1.3,,1,1.0,1,0,100.0,12.0,2.0,16.0,14.0,195.0,6.65,14.7,501.0,0.0,,71.8,30.8,21.9
4,Main,Lissandra,1,1.3,,1,1.0,1,0,100.0,4.0,2.0,11.0,7.5,363.0,9.66,16.6,442.0,0.0,,57.7,15.4,22.4
4,Main,Riven,1,1.3,,1,1.0,1,0,100.0,0.0,2.0,4.0,2.0,345.0,7.62,16.3,360.0,0.0,,36.4,0.0,21.3
4,Main,Swain,1,1.3,,1,1.0,1,0,100.0,1.0,8.0,9.0,1.25,211.0,4.17,13.6,269.0,0.0,,47.6,4.8,16.1
4,Main,Galio,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,3.0,0.43,165.0,5.07,7.9,243.0,0.0,,27.3,0.0,17.0
4,Main,Nunu,1,1.3,,1,1.0,0,1,0.0,0.0,5.0,2.0,0.4,93.0,2.8,7.4,223.0,0.0,,100.0,0.0,16.7
4,Main,Varus,1,1.3,,1,1.0,0,1,0.0,3.0,3.0,0.0,1.0,221.0,7.67,9.1,316.0,0.0,,100.0,100.0,26.9
4,Main,Vi,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,1.0,0.14,112.0,3.23,7.5,216.0,0.0,,50.0,0.0,16.9
5,Main,Varus,6,8.2,4.0,2,2.0,1,1,50.0,2.0,5.0,6.0,1.6,281.0,8.14,12.4,361.0,0.0,,84.2,21.1,22.0
5,Main,Evelynn,4,5.5,,4,3.0,1,3,25.0,1.25,4.0,5.0,1.56,103.0,2.69,10.0,261.0,0.0,,62.5,12.5,17.1
5,Main,Ahri,3,4.1,,3,3.0,1,2,33.3,3.0,1.0,8.0,11.0,357.0,9.08,15.3,389.0,0.0,,86.8,23.7,23.7
5,Main,Skarner,3,4.1,,3,3.0,1,2,33.3,0.67,1.67,4.67,3.2,96.67,3.02,8.9,279.0,0.0,,69.6,8.7,17.2
5,Main,Maokai,3,4.1,,3,2.0,0,3,0.0,0.67,3.33,2.33,0.9,157.33,5.22,7.7,257.0,0.0,,69.2,15.4,18.5
5,Main,Bard,2,2.7,,2,2.0,0,2,0.0,1.5,5.0,7.0,1.7,30.5,0.86,8.0,224.0,0.0,,60.7,10.7,14.4
5,Main,Irelia,2,2.7,,2,2.0,0,2,0.0,2.5,4.5,1.5,0.89,228.0,6.65,10.3,299.0,0.0,,61.5,38.5,22.1
5,Main,Rengar,2,2.7,,2,2.0,0,2,0.0,2.0,3.0,4.0,2.0,95.5,3.15,8.7,285.0,0.0,,70.6,23.5,18.9
5,Main,Zed,2,2.7,,2,2.0,0,2,0.0,3.5,3.0,3.5,2.33,250.0,7.17,12.2,348.0,0.0,,58.3,29.2,22.9
5,Main,Draven,1,1.4,,1,1.0,1,0,100.0,5.0,1.0,7.0,12.0,241.0,7.17,14.6,435.0,0.0,,57.1,23.8,23.0
5,Main,Graves,1,1.4,,1,1.0,1,0,100.0,9.0,2.0,6.0,7.5,356.0,8.97,17.3,436.0,0.0,,68.2,40.9,23.8
5,Main,Karthus,1,1.4,,1,1.0,1,0,100.0,4.0,3.0,10.0,4.67,274.0,9.17,12.8,428.0,0.0,,73.7,21.1,23.0
5,Main,Leona,1,1.4,,1,1.0,1,0,100.0,0.0,3.0,7.0,2.33,60.0,2.42,7.0,283.0,0.0,,43.8,0.0,14.6
5,Main,Lucian,1,1.4,,1,1.0,1,0,100.0,7.0,4.0,11.0,4.5,295.0,8.03,15.3,417.0,0.0,,81.8,31.8,22.3
5,Main,Vladimir,1,1.4,,1,1.0,1,0,100.0,0.0,3.0,8.0,2.67,318.0,7.31,14.9,343.0,0.0,,50.0,0.0,19.9
5,Main,Blitzcrank,1,1.4,,1,1.0,0,1,0.0,1.0,5.0,2.0,0.6,16.0,0.55,5.8,198.0,0.0,,75.0,25.0,14.5
5,Main,Brand,1,1.4,,1,1.0,0,1,0.0,1.0,6.0,10.0,1.83,29.0,0.83,8.6,246.0,0.0,,78.6,7.1,15.2
5,Main,Cassiopeia,1,1.4,,1,1.0,0,1,0.0,1.0,1.0,4.0,5.0,341.0,8.61,13.2,333.0,0.0,,50.0,10.0,21.9
5,Main,Jayce,1,1.4,,1,1.0,0,1,0.0,1.0,2.0,7.0,4.0,359.0,9.33,14.7,382.0,0.0,,50.0,6.3,22.4
5,Main,Nautilus,1,1.4,,1,1.0,0,1,0.0,0.0,6.0,9.0,1.5,72.0,1.66,9.4,217.0,0.0,,50.0,0.0,12.7
5,Main,Nunu,1,1.4,,1,1.0,0,1,0.0,1.0,5.0,11.0,2.4,92.0,2.63,10.0,286.0,0.0,,85.7,7.1,17.7
5,Main,Syndra,1,1.4,,1,1.0,0,1,0.0,2.0,1.0,3.0,5.0,510.0,9.2,19.8,357.0,0.0,,83.3,33.3,25.1
5,Main,Twitch,1,1.4,,1,1.0,0,1,0.0,4.0,4.0,2.0,1.5,213.0,6.43,10.4,314.0,0.0,,50.0,33.3,20.8
