season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda_enhanced,efficiency_score,role,popularity_tier,impact_score
3,Main,Zilean,1,1.6,,1,1.0,0,1,0.0,5.0,7.0,4.0,1.29,96.0,3.2,8.2,273.0,0.0,,,,,1.2857142857142858,1.2857142857142858,other,Bajo,0.020571428571428574
4,Main,Nidalee,25,32.1,17.0,8,6.0,1,7,12.5,2.25,5.25,2.75,0.95,231.38,6.21,11.5,309.0,0.0,,48.2,21.7,20.7,0.9523809523809523,13.452380952380953,other,Medio,4.318214285714286
4,Main,Dr. Mundo,10,12.8,,10,5.0,1,9,10.0,1.7,3.1,3.2,1.58,230.8,6.32,11.0,302.0,0.0,,53.3,18.5,20.6,1.5806451612903227,11.580645161290322,other,Bajo,1.4823225806451612
4,Main,Leona,3,3.8,,3,2.0,1,2,33.3,1.67,3.33,5.33,2.1,40.67,1.05,7.7,200.0,0.0,,45.7,10.9,13.6,2.1021021021021022,35.4021021021021,other,Bajo,1.3452798798798795
4,Main,Pantheon,3,3.8,,3,2.0,1,2,33.3,5.0,5.0,3.67,1.73,85.0,3.05,8.3,299.0,0.0,,60.5,34.9,19.1,1.734,35.034,other,Bajo,1.331292
4,Main,Blitzcrank,3,3.8,,3,1.0,0,3,0.0,1.33,6.33,7.0,1.32,23.33,0.8,6.3,216.0,0.0,,71.4,11.4,15.7,1.315955766192733,1.315955766192733,other,Bajo,0.05000631911532385
4,Main,Sona,3,3.8,,3,2.0,0,3,0.0,0.33,4.0,4.33,1.17,12.0,0.4,6.2,207.0,0.0,,73.7,5.3,14.3,1.165,1.165,other,Bajo,0.04427
4,Main,Caitlyn,2,2.6,,2,1.0,1,1,50.0,5.5,2.0,4.0,4.75,487.5,9.43,21.4,414.0,0.0,,63.3,36.7,25.1,4.75,54.75,other,Bajo,1.4235
4,Main,Graves,2,2.6,,2,2.0,1,1,50.0,3.5,2.5,6.0,3.8,252.5,7.62,12.0,362.0,0.0,,51.4,18.9,22.3,3.8,53.8,other,Bajo,1.3988
4,Main,Singed,2,2.6,,2,1.0,1,1,50.0,3.5,2.5,13.0,6.6,277.5,8.23,13.3,395.0,0.0,,70.2,14.9,22.0,6.6,56.6,other,Bajo,1.4716
4,Main,Ziggs,2,2.6,,2,2.0,1,1,50.0,2.0,1.5,5.0,4.67,354.5,8.43,14.7,348.0,0.0,,50.0,14.3,22.6,4.666666666666667,54.666666666666664,other,Bajo,1.4213333333333333
4,Main,Ezreal,2,2.6,,2,2.0,0,2,0.0,3.0,1.0,2.0,5.0,226.5,6.37,10.8,305.0,0.0,,47.6,28.6,22.1,5.0,5.0,other,Bajo,0.13
4,Main,Akali,1,1.3,,1,1.0,1,0,100.0,9.0,0.0,8.0,17.0,188.0,6.52,12.8,444.0,0.0,,70.8,37.5,21.6,17.0,117.0,other,Bajo,1.521
4,Main,Fiddlesticks,1,1.3,,1,1.0,1,0,100.0,5.0,4.0,10.0,3.75,112.0,2.6,12.3,286.0,0.0,,75.0,25.0,17.9,3.75,103.75,other,Bajo,1.34875
