season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda,player_efficiency,economic_impact,performance_tier
2,Main,Counter_Logic_Gaming_Europe,Froggen,9,5,4,55.6,3.78,2.44,5.44,3.77,315.89,8.37,13.1,347,0.0,,0.79073756432247,,,3.7786885245901645,18.893442622950822,13.1,Élite
2,Main,Counter_Logic_Gaming_Europe,Krepo,9,5,4,55.6,1.22,2.67,7.0,3.08,19.22,0.51,8.1,216,0.0,,0.7548209366391184,,,3.078651685393259,15.393258426966295,8.1,Élite
2,Main,Counter_Logic_Gaming_Europe,Snoopeh,9,5,4,55.6,1.11,2.67,6.33,2.79,108.0,2.86,9.5,251,0.0,,0.7359050445103859,,,2.7865168539325844,13.932584269662922,9.5,Élite
2,Main,Counter_Logic_Gaming_Europe,Wickd,9,5,4,55.6,2.33,3.22,5.67,2.48,228.11,6.05,11.0,291,0.0,,0.7130124777183601,,,2.484472049689441,12.422360248447204,11.0,Élite
2,Main,Counter_Logic_Gaming_Europe,yellowpete,9,5,4,55.6,2.56,2.22,4.78,3.3,261.22,6.92,11.7,310,0.0,,0.7677824267782426,,,3.306306306306306,16.531531531531527,11.7,Élite
2,Main,Dignitas,Crumbzz,3,0,3,0.0,1.67,5.67,3.0,0.82,201.0,5.82,9.6,278,0.0,,0.45164410058027077,,,0.8236331569664903,0.0,9.6,
2,Main,Dignitas,IWillDominate,3,0,3,0.0,1.0,4.33,4.0,1.15,152.67,4.42,8.6,249,0.0,,0.5359056806002144,,,1.1547344110854503,0.0,8.6,
2,Main,Dignitas,Imaqtpie,3,0,3,0.0,2.0,4.67,4.0,1.29,235.33,6.82,9.7,281,0.0,,0.5623242736644799,,,1.284796573875803,0.0,9.7,
2,Main,Dignitas,Patoy,3,0,3,0.0,0.67,3.67,5.33,1.64,20.33,0.59,6.8,196,0.0,,0.6204756980351603,,,1.6348773841961852,0.0,6.8,
2,Main,Dignitas,scarra,3,0,3,0.0,3.33,4.67,2.67,1.29,209.0,6.05,9.6,277,0.0,,0.5623242736644799,,,1.284796573875803,0.0,9.6,
2,Main,Invictus_Gaming,illuSioN,5,2,3,40.0,2.0,3.0,8.6,3.53,137.4,4.2,8.9,273,0.0,,0.7794117647058824,,,3.533333333333333,7.066666666666666,8.9,Élite
2,Main,Invictus_Gaming,kid,5,2,3,40.0,5.8,2.4,6.2,5.0,219.2,6.7,11.0,337,0.0,,0.8333333333333334,,,5.0,10.0,11.0,Élite
2,Main,Invictus_Gaming,Pdd,5,2,3,40.0,2.8,3.0,7.6,3.47,226.0,6.91,10.4,318,0.0,,0.7761194029850746,,,3.4666666666666663,6.933333333333333,10.4,Élite
2,Main,Invictus_Gaming,XiaoXiao,5,2,3,40.0,0.4,5.0,8.4,1.76,9.6,0.29,6.5,198,0.0,,0.6376811594202899,,,1.7600000000000002,3.5200000000000005,6.5,Élite
2,Main,Invictus_Gaming,zz1tai,5,2,3,40.0,5.2,3.0,5.6,3.6,231.8,7.08,10.9,332,0.0,,0.7826086956521741,,,3.6,7.2,10.9,Élite
2,Main,Moscow_Five,Alex Ich,5,3,2,60.0,4.4,2.4,7.4,4.92,251.6,7.56,11.3,340,0.0,,0.8309859154929577,,,4.916666666666667,14.75,11.3,Élite
2,Main,Moscow_Five,Darien,5,3,2,60.0,3.6,2.8,6.6,3.64,196.6,5.91,9.8,294,0.0,,0.7846153846153846,,,3.642857142857143,10.928571428571429,9.8,Élite
2,Main,Moscow_Five,Diamondprox,5,3,2,60.0,2.4,2.6,8.8,4.31,137.0,4.12,8.7,261,0.0,,0.8115942028985508,,,4.307692307692308,12.923076923076925,8.7,Élite
2,Main,Moscow_Five,GoSu Pepper,5,3,2,60.0,0.4,3.2,10.8,3.5,24.6,0.74,7.0,210,0.0,,0.7777777777777778,,,3.5,10.5,7.0,Élite
2,Main,Moscow_Five,Genja,5,3,2,60.0,5.0,2.2,6.2,5.09,230.6,6.93,11.0,329,0.0,,0.835820895522388,,,5.09090909090909,15.27272727272727,11.0,Élite
2,Main,NaJin_Black_Sword,Cain,5,3,2,60.0,1.2,2.0,13.0,7.1,21.6,0.7,8.1,263,0.0,,0.8765432098765432,,,7.1,21.299999999999997,8.1,Élite
2,Main,NaJin_Black_Sword,MaKNooN,5,3,2,60.0,5.4,2.6,7.0,4.77,211.0,6.86,10.6,346,0.0,,0.8266666666666667,,,4.769230769230769,14.307692307692307,10.6,Élite
2,Main,NaJin_Black_Sword,PraY,5,3,2,60.0,5.2,3.2,6.8,3.75,236.6,7.69,11.3,366,0.0,,0.7894736842105263,,,3.75,11.25,11.3,Élite
